Timestamp,Layer,Event,Identifier,Size(Bytes),Details
2026-03-07 22:15:12.193,API,JobCreated,Job 00042,272004,"None"
2026-03-07 22:15:14.508,FS,FileCreated,00043.SPL,0,"Triggered safe read attempt"
2026-03-07 22:15:14.540,FS,FileChanged,00043.SPL,272004,"Triggered safe read attempt"
2026-03-07 22:15:14.546,FS,ReadSuccess,00043.SPL,272004,"Saved to 221514_541_00043.SPL"
2026-03-07 22:15:14.685,API,JobCreated,Job 00043,272004,"None"
2026-03-07 22:15:16.713,FS,FileCreated,00044.SPL,0,"Triggered safe read attempt"
2026-03-07 22:15:16.744,FS,FileChanged,00044.SPL,272004,"Triggered safe read attempt"
2026-03-07 22:15:16.747,FS,ReadSuccess,00044.SPL,272004,"Saved to 221516_746_00044.SPL"
2026-03-07 22:15:16.775,API,JobCreated,Job 00044,272004,"None"
2026-03-07 22:15:24.032,FS,FileCreated,00045.SPL,0,"Triggered safe read attempt"
2026-03-07 22:15:24.040,FS,FileChanged,00045.SPL,931,"Triggered safe read attempt"
2026-03-07 22:15:24.042,FS,ReadSuccess,00045.SPL,931,"Saved to 221524_041_00045.SPL"
2026-03-07 22:15:24.173,API,JobCreated,Job 00045,931,"None"
2026-03-07 22:15:25.907,API,JobCreated,Job 00046,0,"Spooling"
2026-03-07 22:15:25.909,FS,FileCreated,00046.SPL,0,"Triggered safe read attempt"
2026-03-07 22:15:25.917,FS,FileChanged,00046.SPL,931,"Triggered safe read attempt"
2026-03-07 22:15:25.918,FS,ReadSuccess,00046.SPL,931,"Saved to 221525_918_00046.SPL"
2026-03-07 22:15:26.116,API,StatusChanged,Job 00046,931,"None"
2026-03-07 22:15:27.526,FS,FileCreated,00047.SPL,0,"Triggered safe read attempt"
2026-03-07 22:15:27.534,FS,FileChanged,00047.SPL,931,"Triggered safe read attempt"
2026-03-07 22:15:27.535,FS,ReadSuccess,00047.SPL,931,"Saved to 221527_534_00047.SPL"
2026-03-07 22:15:27.618,API,JobCreated,Job 00047,931,"None"
2026-03-07 22:15:29.127,API,JobCreated,Job 00048,0,"Spooling"
2026-03-07 22:15:29.128,FS,FileCreated,00048.SPL,0,"Triggered safe read attempt"
2026-03-07 22:15:29.137,FS,FileChanged,00048.SPL,931,"Triggered safe read attempt"
2026-03-07 22:15:29.138,FS,ReadSuccess,00048.SPL,931,"Saved to 221529_137_00048.SPL"
2026-03-07 22:15:29.344,API,StatusChanged,Job 00048,931,"None"
2026-03-07 22:15:30.700,FS,FileCreated,00049.SPL,0,"Triggered safe read attempt"
2026-03-07 22:15:30.707,FS,FileChanged,00049.SPL,931,"Triggered safe read attempt"
2026-03-07 22:15:30.709,FS,ReadSuccess,00049.SPL,931,"Saved to 221530_708_00049.SPL"
2026-03-07 22:15:30.798,API,JobCreated,Job 00049,931,"None"
2026-03-08 00:02:10.981,API,JobCreated,Job 00002,81564,"Printing, Retained"
2026-03-08 00:02:10.983,API,JobCreated,Job 00003,272004,"None"
2026-03-08 00:02:10.984,API,JobCreated,Job 00041,272004,"None"
2026-03-08 00:02:10.984,API,JobCreated,Job 00042,272004,"None"
2026-03-08 00:02:10.985,API,JobCreated,Job 00043,272004,"None"
2026-03-08 00:02:10.985,API,JobCreated,Job 00044,272004,"None"
2026-03-08 00:02:10.986,API,JobCreated,Job 00045,931,"None"
2026-03-08 00:02:10.986,API,JobCreated,Job 00046,931,"None"
2026-03-08 00:02:10.987,API,JobCreated,Job 00047,931,"None"
2026-03-08 00:02:10.987,API,JobCreated,Job 00048,931,"None"
2026-03-08 00:02:10.987,API,JobCreated,Job 00049,931,"None"
2026-03-08 00:02:47.173,FS,FileCreated,00050.SPL,0,"Triggered safe read attempt"
2026-03-08 00:02:47.176,FS,ReadSuccess,00050.SPL,142,"Saved to 000247_174_00050.SPL"
2026-03-08 00:02:47.177,FS,FileChanged,00050.SPL,142,"Triggered safe read attempt"
2026-03-08 00:02:47.178,FS,ReadSuccess,00050.SPL,142,"Saved to 000247_177_00050.SPL"
2026-03-08 00:02:47.248,API,JobCreated,Job 00050,142,"None"
2026-03-08 03:22:27.127,API,JobCreated,Job 00002,81564,"Printing, Retained"
2026-03-08 03:22:27.129,API,JobCreated,Job 00003,272004,"None"
2026-03-08 03:22:27.130,API,JobCreated,Job 00041,272004,"None"
2026-03-08 03:22:27.131,API,JobCreated,Job 00042,272004,"None"
2026-03-08 03:22:27.131,API,JobCreated,Job 00043,272004,"None"
2026-03-08 03:22:27.131,API,JobCreated,Job 00044,272004,"None"
2026-03-08 03:22:27.132,API,JobCreated,Job 00045,931,"None"
2026-03-08 03:22:27.132,API,JobCreated,Job 00046,931,"None"
2026-03-08 03:22:27.132,API,JobCreated,Job 00047,931,"None"
2026-03-08 03:22:27.133,API,JobCreated,Job 00048,931,"None"
2026-03-08 03:22:27.133,API,JobCreated,Job 00049,931,"None"
2026-03-08 03:22:27.134,API,JobCreated,Job 00050,142,"None"
2026-03-08 03:22:27.134,API,JobCreated,Job 00051,126,"None"
